"390493","Adams","Kaitlyn","","11","67397","",
"988305","Aguilar","Morgan","","11",,"",
"640435","Aguilar","Natalia","","11",,"",
"710421","Alexander","Valeria","","12",,"",
"379027","Allen","Trinity","","10","67401","","Inactive"
"305988","Allen","Nicholas","TEST_STUDENT_216_3@rtischeduler.com","10","67427","",
"981660","Alvarado","Robert","TEST_STUDENT_145_3@rtischeduler.com","9","67403","",
"876329","Alvarez","Katherine","TEST_STUDENT_361_3@rtischeduler.com","11","67403","",
"203498","Alvarez","Kaden","TEST_STUDENT_512_3@rtischeduler.com","11","67396","",
"966791","Anderson","Samuel","TEST_STUDENT_34_3@rtischeduler.com","10","67417","",
"104602","Armstrong","Nicole","","11","67420","",
"688405","Armstrong","Natalia","TEST_STUDENT_283_3@rtischeduler.com","10","67413","",
"234313","Arnold","Haley","TEST_STUDENT_284_3@rtischeduler.com","9","67403","",
"836400","Austin","Mia","TEST_STUDENT_349_3@rtischeduler.com","12","67423","",
"728200","Bailey","Sydney","TEST_STUDENT_211_3@rtischeduler.com","10","67396","",
"561952","Bailey","Jaden","TEST_STUDENT_395_3@rtischeduler.com","11","67405","",
"109193","Bailey","Jesus","TEST_STUDENT_555_3@rtischeduler.com","11","67410","",
"682051","Baker","Madeline","TEST_STUDENT_39_3@rtischeduler.com","12","67402","",
"382843","Baker","Isabelle","TEST_STUDENT_5_3@rtischeduler.com","9","67397","",
"342417","Banks","Emily","TEST_STUDENT_95_3@rtischeduler.com","9","67413","",
"386127","Barnes","Jordan","TEST_STUDENT_190_3@rtischeduler.com","10","67417","",
"990136","Barnes","Caroline","TEST_STUDENT_508_3@rtischeduler.com","10","67410","",
"763197","Bell","Olivia","TEST_STUDENT_157_3@rtischeduler.com","11","67397","",
"056773","Bell","Elijah","TEST_STUDENT_287_3@rtischeduler.com","11","67415","",
"577146","Berry","Jason","TEST_STUDENT_480_3@rtischeduler.com","9","67401","",
"053812","Bishop","Owen","TEST_STUDENT_255_3@rtischeduler.com","11","67410","",
"726512","Bishop","Jaden","TEST_STUDENT_291_3@rtischeduler.com","10","67401","",
"382503","Bishop","James","","11","67415","",
"097191","Bowman","Faith","TEST_STUDENT_103_3@rtischeduler.com","12","67398","",
"099514","Bowman","Hunter","TEST_STUDENT_221_3@rtischeduler.com","11","67400","",
"591882","Bowman","Savannah","TEST_STUDENT_345_3@rtischeduler.com","12","67424","",
"051019","Boyd","Justin","TEST_STUDENT_540_3@rtischeduler.com","12","67393","",
"737313","Brooks","Faith","TEST_STUDENT_78_3@rtischeduler.com","11","67412","",
"555374","Brooks","Landon","TEST_STUDENT_204_3@rtischeduler.com","10","67424","",
"260619","Brown","Luke","TEST_STUDENT_466_3@rtischeduler.com","9","67420","",
"653315","Bryant","Nora","TEST_STUDENT_278_3@rtischeduler.com","12","67404","",
"425676","Burns","Gabriel","TEST_STUDENT_159_3@rtischeduler.com","11","67425","",
"546415","Burns","Aaron","TEST_STUDENT_308_3@rtischeduler.com","11","67400","",
"078744","Burns","Evan","TEST_STUDENT_427_3@rtischeduler.com","10","67417","",
"959443","Burton","Chloe","TEST_STUDENT_223_3@rtischeduler.com","11","67431","",
"837232","Burton","Jenna","TEST_STUDENT_240_3@rtischeduler.com","10","67394","",
"795049","Butler","Natalie","TEST_STUDENT_299_3@rtischeduler.com","9","67401","",
"785241","Butler","Rebecca","TEST_STUDENT_424_3@rtischeduler.com","12","67423","",
"546380","Campbell","Madeline","TEST_STUDENT_519_3@rtischeduler.com","10","67430","",
"806300","Carlson","Savannah","TEST_STUDENT_70_3@rtischeduler.com","12","67422","",
"072150","Carlson","Julian","TEST_STUDENT_279_3@rtischeduler.com","12","67414","",
"612963","Carlson","Henry","TEST_STUDENT_418_3@rtischeduler.com","11","67407","",
"513105","Carpenter","Alejandro","TEST_STUDENT_143_3@rtischeduler.com","12","67402","",
"076548","Carpenter","Paige","TEST_STUDENT_449_3@rtischeduler.com","11","67396","",
"348939","Carpenter","Maria","TEST_STUDENT_552_3@rtischeduler.com","12","67412","",
"052692","Carr","Isaiah","TEST_STUDENT_45_3@rtischeduler.com","12","67424","",
"435884","Carr","Timothy","TEST_STUDENT_63_3@rtischeduler.com","12","67432","",
"931161","Carr","Carson","TEST_STUDENT_584_3@rtischeduler.com","9","67423","",
"265169","Carroll","Hailey","TEST_STUDENT_333_3@rtischeduler.com","11","67420","",
"599031","Carroll","Isabelle","TEST_STUDENT_599_3@rtischeduler.com","10","67417","",
"766116","Carter","Jesus","TEST_STUDENT_196_3@rtischeduler.com","10","67427","",
"610306","Carter","Aaliyah","TEST_STUDENT_199_3@rtischeduler.com","9","67428","",
"895601","Carter","Xavier","TEST_STUDENT_236_3@rtischeduler.com","11","67399","",
"651305","Castillo","Timothy","TEST_STUDENT_298_3@rtischeduler.com","10","67396","",
"301933","Castillo","Angel","TEST_STUDENT_571_3@rtischeduler.com","9","67397","",
"708447","Castro","Owen","TEST_STUDENT_161_3@rtischeduler.com","10","67397","",
"229533","Castro","Daniel","TEST_STUDENT_256_3@rtischeduler.com","11","67396","",
"002032","Castro","Miguel","TEST_STUDENT_434_3@rtischeduler.com","11","67425","",
"405697","Castro","Alyssa","TEST_STUDENT_473_3@rtischeduler.com","12","67425","",
"403230","Chapman","Jack","TEST_STUDENT_77_3@rtischeduler.com","11","67411","",
"018920","Chapman","Kylie","TEST_STUDENT_257_3@rtischeduler.com","11","67431","",
"799696","Chapman","Nathan","TEST_STUDENT_341_3@rtischeduler.com","12","67411","",
"422552","Chapman","Michelle","TEST_STUDENT_436_3@rtischeduler.com","12","67399","",
"267734","Chavez","Rebecca","","9","67417","",
