"67393","Hudson","Alexander","TEST_INSTRUCTOR_0_3@rtischeduler.com","208","Science",
"67394","Thompson","Kyle","TEST_INSTRUCTOR_1_3@rtischeduler.com","104","CTE",
"67395","Wallace","John","TEST_INSTRUCTOR_2_3@rtischeduler.com","305","Social Studies",
"67396","Reid","James","TEST_INSTRUCTOR_3_3@rtischeduler.com","508","CTE",
"67397","Garza","Katherine","TEST_INSTRUCTOR_4_3@rtischeduler.com","208","Science",
"67398","Long","Danielle","TEST_INSTRUCTOR_5_3@rtischeduler.com","408","Math",
"67399","Welch","Krystal","TEST_INSTRUCTOR_6_3@rtischeduler.com","201","Social Studies",
"67400","Garza","Shane","TEST_INSTRUCTOR_7_3@rtischeduler.com","500","Math",
"67401","Rios","Wesley",,"300","CTE",
"67402","Pierce","Brian","TEST_INSTRUCTOR_9_3@rtischeduler.com","406","CTE",
"67403","Burns","Donald","TEST_INSTRUCTOR_10_3@rtischeduler.com","305","World Language",
"67404","Mason","Michael","TEST_INSTRUCTOR_11_3@rtischeduler.com","201","World Language",
"67405","Meyer","Samuel","TEST_INSTRUCTOR_12_3@rtischeduler.com","301","CTE",
"67406","Coleman","Mary","TEST_INSTRUCTOR_13_3@rtischeduler.com","207","Math",
"67407","Washington","Joel","TEST_INSTRUCTOR_14_3@rtischeduler.com","204","Science",
"67408","Foster","Adrian","TEST_INSTRUCTOR_15_3@rtischeduler.com","100","Math",
"67409","Gilbert","Amanda","TEST_INSTRUCTOR_16_3@rtischeduler.com","508","World Language",
"67410","Weber","Aaron",,"105","Math",
"67411","Silva","Nathan","TEST_INSTRUCTOR_18_3@rtischeduler.com","304","CTE",
"67412","Ward","Jeffrey","TEST_INSTRUCTOR_19_3@rtischeduler.com","402","CTE",
"67413","Garza","Courtney","TEST_INSTRUCTOR_20_3@rtischeduler.com","429","English",
"67414","Griffin","Kristina","TEST_INSTRUCTOR_21_3@rtischeduler.com","400","World Language",
"67415","Obrien","Rachael","TEST_INSTRUCTOR_22_3@rtischeduler.com","400","CTE",
"67416","Martinez","David","TEST_INSTRUCTOR_23_3@rtischeduler.com","500","Social Studies",
"67417","Weber","Stephen","TEST_INSTRUCTOR_24_3@rtischeduler.com","203","Science",
"67418","Adams","Rachael","TEST_INSTRUCTOR_25_3@rtischeduler.com","501","Social Studies",
"67419","Tucker","George","TEST_INSTRUCTOR_26_3@rtischeduler.com","104","Social Studies",
"67420","Wood","Michelle","TEST_INSTRUCTOR_27_3@rtischeduler.com","506","Art",
"67421","Padilla","Jacob",,"203","CTE",
"67422","Morgan","Bradley","TEST_INSTRUCTOR_29_3@rtischeduler.com","407","English",
"67423","Harper","Nicholas","TEST_INSTRUCTOR_30_3@rtischeduler.com","208","CTE",
"67424","Aguilar","Brittney","TEST_INSTRUCTOR_31_3@rtischeduler.com","308","Science",
"67425","Vazquez","Erika","TEST_INSTRUCTOR_32_3@rtischeduler.com","205","English",
"67426","Reid","Mary","TEST_INSTRUCTOR_33_3@rtischeduler.com","102","CTE",
"67427","Stephens","Joshua","TEST_INSTRUCTOR_34_3@rtischeduler.com","102","Art",
"67428","Contreras","Tara","TEST_INSTRUCTOR_35_3@rtischeduler.com","401","Math",
"67429","Rojas","Ashley","TEST_INSTRUCTOR_36_3@rtischeduler.com","504","CTE",
"67430","Ellis","Rachel","TEST_INSTRUCTOR_37_3@rtischeduler.com","508","Math",
"67431","Daniels","Thomas","TEST_INSTRUCTOR_38_3@rtischeduler.com","305","CTE",
"67432","Green","Monica","TEST_INSTRUCTOR_39_3@rtischeduler.com","302","Music",
